UserID,Name,Gender,DOB,Interests,City,Country,Cleaned_Interests,Email,Username,Password
75722,Kevin Tabor,Male,1962-09-02,"'Nature', 'Parenting and family'",Gossau,Switzerland,"['Nature', 'Parenting and family']",kevin.tabor@webstream.net,kevin_t43,parentingandfamily96
80185,Bethany Buckley,Male,1983-07-28,'Business and entrepreneurship',Yan’an,China,['Business and entrepreneurship'],bethany.buckley@webstream.net,bethany_b67,bethany83
19865,Marsha Ayala,Male,1958-12-18,"'Fashion', 'DIY and crafts', 'Outdoor activities'",Focșani,Romania,"['Fashion', 'DIY and crafts', 'Outdoor activities']",marsha.ayala@webstream.net,marsha_a33,abc123
76700,Sheryl Hower,Male,1964-04-12,'Business and entrepreneurship',Huetamo de Núñez,Mexico,['Business and entrepreneurship'],sheryl.hower@mail.com,sheryl_h59,businessandentrepreneurship22
92992,Robin Garrett,Male,1975-11-26,'Travel',Esslingen,Germany,['Travel'],robin.garrett@webstream.net,robin_g70,travel78
76435,Theresa Dominguez,Male,1988-07-26,'DIY and crafts',Boulogne-sur-Mer,France,['DIY and crafts'],theresa.dominguez@webstream.net,theresa_d87,abc123
84005,James Gass,Female,1967-10-14,"'Music', 'Photography', 'DIY and crafts', 'Art', 'Travel'",Shiojiri,Japan,"['Music', 'Photography', 'DIY and crafts', 'Art', 'Travel']",james.gass@streamhub.net,james_g92,james67
80918,Lawrence Lewison,Female,1960-02-07,'Fashion',Fornacelle,Italy,['Fashion'],lawrence.lewison@streamhub.net,lawrence_l77,fashion57
60768,Wm Neira,Male,1970-03-12,"'Gardening', 'Food and dining', 'Art', 'Fashion', 'Sports'",Butwāl,Nepal,"['Gardening', 'Food and dining', 'Art', 'Fashion', 'Sports']",wm.neira@mail.com,wm_n65,wm70
50075,Carolyn Briggs,Male,1980-03-27,"'Finance and investments', 'Books'",Thul,Pakistan,"['Finance and investments', 'Books']",carolyn.briggs@mail.com,carolyn_b80,carolyn80
27702,Francis Manthe,Male,1972-04-15,"'DIY and crafts', 'History', 'Food and dining', 'Gaming'",Khatīma,India,"['DIY and crafts', 'History', 'Food and dining', 'Gaming']",francis.manthe@webstream.net,francis_m83,12345678
42142,Kenya Pollard,Female,1976-12-22,"'Technology', 'Beauty', 'Social causes and activism', 'Finance and investments'",Anxiang,China,"['Technology', 'Beauty', 'Social causes and activism', 'Finance and investments']",kenya.pollard@streamhub.net,kenya_p61,qwerty!
